arm,engine_rank,minute,attributed_pct,late_share_run_pct,resident_chat_ontime,share_chat_ontime_pct,resident_chat_late,share_chat_late_pct,resident_deepresearch_ontime,share_deepresearch_ontime_pct,resident_deepresearch_late,share_deepresearch_late_pct,resident_swe_ontime,share_swe_ontime_pct,resident_swe_late,share_swe_late_pct,resident_total,unit
FluidServe,1,17.0000,100.0000,0.0400,104.0055,69.0100,0.0000,0.0000,25.7085,17.0582,0.0000,0.0000,20.9968,13.9318,0.0000,0.0000,150.7108,mean concurrently resident requests in a 60 s window
FluidServe,1,18.0000,100.0000,0.0400,119.7755,67.0309,0.0000,0.0000,36.7162,20.5478,0.0000,0.0000,22.1952,12.4213,0.0000,0.0000,178.6869,mean concurrently resident requests in a 60 s window
FluidServe,1,19.0000,100.0000,0.0400,131.5207,69.0051,0.0000,0.0000,33.6252,17.6422,0.0000,0.0000,25.4498,13.3527,0.0000,0.0000,190.5957,mean concurrently resident requests in a 60 s window
FluidServe,1,20.0000,100.0000,0.0400,115.5481,66.1165,0.0000,0.0000,25.7569,14.7381,0.0000,0.0000,33.4593,19.1454,0.0000,0.0000,174.7643,mean concurrently resident requests in a 60 s window
FluidServe,1,21.0000,100.0000,0.0400,122.5498,66.8298,0.0000,0.0000,23.6831,12.9150,0.0000,0.0000,37.1431,20.2551,0.0000,0.0000,183.3759,mean concurrently resident requests in a 60 s window
FluidServe,1,22.0000,100.0000,0.0400,133.0445,70.2081,0.0000,0.0000,21.1707,11.1719,0.0000,0.0000,35.2850,18.6200,0.0000,0.0000,189.5003,mean concurrently resident requests in a 60 s window
FluidServe,1,23.0000,100.0000,0.0400,131.1321,69.4470,0.0000,0.0000,22.9969,12.1791,0.0000,0.0000,34.6942,18.3739,0.0000,0.0000,188.8232,mean concurrently resident requests in a 60 s window
FluidServe,1,24.0000,100.0000,0.0400,116.1017,68.8929,0.0000,0.0000,29.9963,17.7993,0.0000,0.0000,22.4270,13.3078,0.0000,0.0000,168.5250,mean concurrently resident requests in a 60 s window
FluidServe,1,25.0000,100.0000,0.0400,95.0213,63.7496,0.0000,0.0000,38.3393,25.7217,0.0000,0.0000,15.6934,10.5287,0.0000,0.0000,149.0540,mean concurrently resident requests in a 60 s window
FluidServe,1,26.0000,100.0000,0.0400,114.7231,66.1270,0.0000,0.0000,38.5951,22.2464,0.0000,0.0000,20.1707,11.6265,0.0000,0.0000,173.4890,mean concurrently resident requests in a 60 s window
FluidServe,1,27.0000,100.0000,0.0400,132.8087,71.4499,0.0000,0.0000,26.9824,14.5163,0.0000,0.0000,26.0855,14.0338,0.0000,0.0000,185.8766,mean concurrently resident requests in a 60 s window
FluidServe,1,28.0000,100.0000,0.0400,122.0785,73.8624,0.0000,0.0000,26.8967,16.2736,0.0000,0.0000,16.3031,9.8640,0.0000,0.0000,165.2783,mean concurrently resident requests in a 60 s window
FluidServe,1,29.0000,100.0000,0.0400,86.3449,69.0712,0.0000,0.0000,27.8641,22.2898,0.0000,0.0000,10.7995,8.6390,0.0000,0.0000,125.0085,mean concurrently resident requests in a 60 s window
FluidServe,1,30.0000,100.0000,0.0400,228.5034,95.2451,0.0000,0.0000,9.9982,4.1675,0.0000,0.0000,1.4093,0.5874,0.0000,0.0000,239.9109,mean concurrently resident requests in a 60 s window
FluidServe,1,31.0000,100.0000,0.0400,257.5400,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,257.5400,mean concurrently resident requests in a 60 s window
FluidServe,1,32.0000,100.0000,0.0400,238.5816,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,238.5816,mean concurrently resident requests in a 60 s window
FluidServe,1,33.0000,100.0000,0.0400,255.6152,99.7447,0.0000,0.0000,0.2606,0.1017,0.0000,0.0000,0.3936,0.1536,0.0000,0.0000,256.2693,mean concurrently resident requests in a 60 s window
FluidServe,1,34.0000,100.0000,0.0400,225.5157,92.1078,0.0000,0.0000,15.0857,6.1615,0.0000,0.0000,4.2376,1.7308,0.0000,0.0000,244.8390,mean concurrently resident requests in a 60 s window
FluidServe,1,35.0000,100.0000,0.0400,237.5321,94.6348,0.0000,0.0000,9.6680,3.8518,0.0000,0.0000,3.7987,1.5134,0.0000,0.0000,250.9988,mean concurrently resident requests in a 60 s window
FluidServe,1,36.0000,100.0000,0.0400,220.5497,93.7070,0.0000,0.0000,11.4243,4.8540,0.0000,0.0000,3.3870,1.4391,0.0000,0.0000,235.3610,mean concurrently resident requests in a 60 s window
FluidServe,1,37.0000,100.0000,0.0400,230.7968,93.9602,0.0000,0.0000,11.8771,4.8353,0.0000,0.0000,2.9585,1.2044,0.0000,0.0000,245.6324,mean concurrently resident requests in a 60 s window
FluidServe,1,38.0000,100.0000,0.0400,235.6585,94.3903,0.0000,0.0000,11.4132,4.5714,0.0000,0.0000,2.5922,1.0383,0.0000,0.0000,249.6639,mean concurrently resident requests in a 60 s window
FluidServe,1,39.0000,100.0000,0.0400,240.0854,96.5131,0.0000,0.0000,6.1609,2.4767,0.0000,0.0000,2.5130,1.0102,0.0000,0.0000,248.7593,mean concurrently resident requests in a 60 s window
FluidServe,1,40.0000,100.0000,0.0400,208.1837,97.4604,0.0000,0.0000,3.1816,1.4894,0.0000,0.0000,2.2431,1.0501,0.0000,0.0000,213.6084,mean concurrently resident requests in a 60 s window
FluidServe,1,41.0000,100.0000,0.0400,236.8960,99.9726,0.0000,0.0000,0.0648,0.0274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,236.9608,mean concurrently resident requests in a 60 s window
FluidServe,1,42.0000,100.0000,0.0400,224.5248,96.3435,0.0000,0.0000,7.1446,3.0657,0.0000,0.0000,1.3767,0.5907,0.0000,0.0000,233.0461,mean concurrently resident requests in a 60 s window
FluidServe,1,43.0000,100.0000,0.0400,202.9179,96.3794,0.0000,0.0000,7.1823,3.4114,0.0000,0.0000,0.4405,0.2092,0.0000,0.0000,210.5407,mean concurrently resident requests in a 60 s window
FluidServe,1,44.0000,100.0000,0.0400,186.4843,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,186.4843,mean concurrently resident requests in a 60 s window
FluidServe,1,45.0000,100.0000,0.0400,188.8494,95.2990,0.0000,0.0000,4.3707,2.2056,0.0000,0.0000,4.9451,2.4954,0.0000,0.0000,198.1652,mean concurrently resident requests in a 60 s window
FluidServe,1,46.0000,100.0000,0.0400,181.6765,85.2522,0.0000,0.0000,24.4922,11.4931,0.0000,0.0000,6.9360,3.2548,0.0000,0.0000,213.1047,mean concurrently resident requests in a 60 s window
FluidServe,1,47.0000,100.0000,0.0400,192.0886,85.8218,0.0000,0.0000,26.0964,11.6594,0.0000,0.0000,5.6376,2.5188,0.0000,0.0000,223.8226,mean concurrently resident requests in a 60 s window
FluidServe,1,48.0000,100.0000,0.0400,181.9515,86.8632,0.0000,0.0000,21.6366,10.3292,0.0000,0.0000,5.8811,2.8076,0.0000,0.0000,209.4691,mean concurrently resident requests in a 60 s window
FluidServe,1,49.0000,100.0000,0.0400,201.0626,84.9820,0.0000,0.0000,29.0780,12.2902,0.0000,0.0000,6.4538,2.7278,0.0000,0.0000,236.5944,mean concurrently resident requests in a 60 s window
FluidServe,1,50.0000,100.0000,0.0400,185.4979,82.8363,0.0000,0.0000,33.4087,14.9191,0.0000,0.0000,5.0264,2.2446,0.0000,0.0000,223.9331,mean concurrently resident requests in a 60 s window
FluidServe,1,51.0000,100.0000,0.0400,169.4986,81.4124,0.0000,0.0000,30.2611,14.5348,0.0000,0.0000,8.4379,4.0528,0.0000,0.0000,208.1977,mean concurrently resident requests in a 60 s window
FluidServe,1,52.0000,100.0000,0.0400,146.2535,72.0686,0.0000,0.0000,47.4886,23.4007,0.0000,0.0000,9.1944,4.5307,0.0000,0.0000,202.9364,mean concurrently resident requests in a 60 s window
FluidServe,1,53.0000,100.0000,0.0400,138.7971,68.3476,0.0000,0.0000,52.7357,25.9685,0.0000,0.0000,11.5425,5.6838,0.0000,0.0000,203.0753,mean concurrently resident requests in a 60 s window
FluidServe,1,54.0000,100.0000,0.0400,125.6590,66.3741,0.0000,0.0000,50.9970,26.9370,0.0000,0.0000,12.6633,6.6889,0.0000,0.0000,189.3193,mean concurrently resident requests in a 60 s window
FluidServe,1,55.0000,100.0000,0.0400,116.4517,62.8808,0.0000,0.0000,56.5352,30.5275,0.0000,0.0000,12.2075,6.5917,0.0000,0.0000,185.1944,mean concurrently resident requests in a 60 s window
FluidServe,1,56.0000,100.0000,0.0400,84.3338,52.6378,0.0000,0.0000,66.1974,41.3178,0.0000,0.0000,9.6841,6.0444,0.0000,0.0000,160.2153,mean concurrently resident requests in a 60 s window
FluidServe,1,57.0000,100.0000,0.0400,108.1444,59.7683,0.0000,0.0000,58.1620,32.1445,0.0000,0.0000,14.6330,8.0872,0.0000,0.0000,180.9393,mean concurrently resident requests in a 60 s window
FluidServe,1,58.0000,100.0000,0.0400,152.7814,75.9378,0.0000,0.0000,40.8346,20.2963,0.0000,0.0000,7.5767,3.7659,0.0000,0.0000,201.1928,mean concurrently resident requests in a 60 s window
FluidServe,1,59.0000,100.0000,0.0400,116.6218,86.1659,0.0000,0.0000,16.3235,12.0606,0.0000,0.0000,2.4004,1.7736,0.0000,0.0000,135.3457,mean concurrently resident requests in a 60 s window
FluidServe,1,60.0000,100.0000,0.0400,0.3429,90.6205,0.0000,0.0000,0.0355,9.3795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3784,mean concurrently resident requests in a 60 s window
FluidServe,2,0.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,9.8523,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8523,mean concurrently resident requests in a 60 s window
FluidServe,2,1.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,10.3739,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3739,mean concurrently resident requests in a 60 s window
FluidServe,2,2.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,9.6410,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6410,mean concurrently resident requests in a 60 s window
FluidServe,2,3.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,11.7685,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7685,mean concurrently resident requests in a 60 s window
FluidServe,2,4.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,23.2096,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.2096,mean concurrently resident requests in a 60 s window
FluidServe,2,5.0000,100.0000,0.0400,9.0892,10.1881,0.0000,0.0000,68.8806,77.2087,0.0000,0.0000,11.2438,12.6032,0.0000,0.0000,89.2135,mean concurrently resident requests in a 60 s window
FluidServe,2,6.0000,100.0000,0.0400,84.3590,59.7584,0.0000,0.0000,45.5190,32.2448,0.0000,0.0000,11.2888,7.9968,0.0000,0.0000,141.1669,mean concurrently resident requests in a 60 s window
FluidServe,2,7.0000,100.0000,0.0400,92.3499,64.6109,0.0000,0.0000,40.5722,28.3856,0.0000,0.0000,10.0104,7.0036,0.0000,0.0000,142.9325,mean concurrently resident requests in a 60 s window
FluidServe,2,8.0000,100.0000,0.0400,138.3130,81.7482,0.0000,0.0000,23.9867,14.1771,0.0000,0.0000,6.8941,4.0747,0.0000,0.0000,169.1938,mean concurrently resident requests in a 60 s window
FluidServe,2,9.0000,100.0000,0.0400,132.7091,81.1068,0.0000,0.0000,22.8881,13.9883,0.0000,0.0000,8.0254,4.9048,0.0000,0.0000,163.6226,mean concurrently resident requests in a 60 s window
FluidServe,2,10.0000,100.0000,0.0400,24.6679,86.9249,0.0000,0.0000,2.7404,9.6566,0.0000,0.0000,0.9701,3.4186,0.0000,0.0000,28.3784,mean concurrently resident requests in a 60 s window
FluidServe,2,11.0000,100.0000,0.0400,0.0002,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,mean concurrently resident requests in a 60 s window
FluidServe,2,12.0000,100.0000,0.0400,3.9238,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9238,mean concurrently resident requests in a 60 s window
FluidServe,2,13.0000,100.0000,0.0400,1.8770,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8770,mean concurrently resident requests in a 60 s window
FluidServe,2,14.0000,100.0000,0.0400,0.7544,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7544,mean concurrently resident requests in a 60 s window
FluidServe,2,15.0000,100.0000,0.0400,0.2877,0.3637,0.0000,0.0000,73.1011,92.4104,0.0000,0.0000,5.7161,7.2259,0.0000,0.0000,79.1049,mean concurrently resident requests in a 60 s window
FluidServe,2,16.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,117.4450,75.6092,0.0079,0.0051,37.3147,24.0226,0.5641,0.3631,155.3316,mean concurrently resident requests in a 60 s window
FluidServe,2,17.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,102.8200,61.8001,0.0059,0.0036,63.5492,38.1963,0.0000,0.0000,166.3752,mean concurrently resident requests in a 60 s window
FluidServe,2,18.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,93.4097,55.7810,0.0000,0.0000,74.0483,44.2190,0.0000,0.0000,167.4580,mean concurrently resident requests in a 60 s window
FluidServe,2,19.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,111.2636,61.8774,0.0000,0.0000,68.4103,38.0453,0.1390,0.0773,179.8128,mean concurrently resident requests in a 60 s window
FluidServe,2,20.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,118.8334,59.0852,0.0000,0.0000,81.8654,40.7043,0.4234,0.2105,201.1222,mean concurrently resident requests in a 60 s window
FluidServe,2,21.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,122.2815,62.9387,0.0000,0.0000,71.7327,36.9210,0.2725,0.1403,194.2867,mean concurrently resident requests in a 60 s window
FluidServe,2,22.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,113.3252,57.8908,0.0000,0.0000,82.1133,41.9465,0.3185,0.1627,195.7570,mean concurrently resident requests in a 60 s window
FluidServe,2,23.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,130.5568,67.4946,0.0000,0.0000,62.6678,32.3976,0.2085,0.1078,193.4331,mean concurrently resident requests in a 60 s window
FluidServe,2,24.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,127.0058,63.4550,0.0000,0.0000,73.1196,36.5322,0.0257,0.0129,200.1511,mean concurrently resident requests in a 60 s window
FluidServe,2,25.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,85.3611,51.1650,0.0000,0.0000,81.4739,48.8350,0.0000,0.0000,166.8350,mean concurrently resident requests in a 60 s window
FluidServe,2,26.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,81.0987,49.8844,0.0000,0.0000,81.4746,50.1156,0.0000,0.0000,162.5733,mean concurrently resident requests in a 60 s window
FluidServe,2,27.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,93.3020,50.1876,0.0000,0.0000,92.6044,49.8124,0.0000,0.0000,185.9064,mean concurrently resident requests in a 60 s window
FluidServe,2,28.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,79.6800,47.3430,0.0000,0.0000,88.6237,52.6570,0.0000,0.0000,168.3038,mean concurrently resident requests in a 60 s window
FluidServe,2,29.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,65.5361,46.5926,0.0000,0.0000,75.1216,53.4074,0.0000,0.0000,140.6577,mean concurrently resident requests in a 60 s window
FluidServe,2,30.0000,100.0000,0.0400,29.1864,33.0669,0.0000,0.0000,22.1516,25.0967,0.0000,0.0000,36.9268,41.8364,0.0000,0.0000,88.2649,mean concurrently resident requests in a 60 s window
FluidServe,2,31.0000,100.0000,0.0400,73.5901,80.7915,0.0000,0.0000,4.7049,5.1653,0.0000,0.0000,12.7914,14.0431,0.0000,0.0000,91.0864,mean concurrently resident requests in a 60 s window
FluidServe,2,32.0000,100.0000,0.0400,23.2914,79.3057,0.0000,0.0000,5.2717,17.9497,0.0000,0.0000,0.8061,2.7446,0.0000,0.0000,29.3692,mean concurrently resident requests in a 60 s window
FluidServe,2,33.0000,100.0000,0.0400,47.0530,86.2412,0.0000,0.0000,4.0272,7.3813,0.0000,0.0000,3.4795,6.3775,0.0000,0.0000,54.5597,mean concurrently resident requests in a 60 s window
FluidServe,2,34.0000,100.0000,0.0400,154.3634,83.8672,0.0000,0.0000,21.0371,11.4297,0.0000,0.0000,8.6565,4.7031,0.0000,0.0000,184.0570,mean concurrently resident requests in a 60 s window
FluidServe,2,35.0000,100.0000,0.0400,149.8042,78.7059,0.0000,0.0000,28.5786,15.0149,0.0000,0.0000,11.9515,6.2792,0.0000,0.0000,190.3343,mean concurrently resident requests in a 60 s window
FluidServe,2,36.0000,100.0000,0.0400,169.6874,83.0555,0.0000,0.0000,25.2405,12.3543,0.0000,0.0000,9.3781,4.5902,0.0000,0.0000,204.3060,mean concurrently resident requests in a 60 s window
FluidServe,2,37.0000,100.0000,0.0400,152.4805,80.3342,0.0000,0.0000,26.6357,14.0330,0.0000,0.0000,10.6914,5.6328,0.0000,0.0000,189.8076,mean concurrently resident requests in a 60 s window
FluidServe,2,38.0000,100.0000,0.0400,169.0967,83.1785,0.0000,0.0000,26.8719,13.2183,0.0000,0.0000,7.3252,3.6032,0.0000,0.0000,203.2938,mean concurrently resident requests in a 60 s window
FluidServe,2,39.0000,100.0000,0.0400,173.0255,85.2213,0.0000,0.0000,24.2817,11.9596,0.0000,0.0000,5.7236,2.8191,0.0000,0.0000,203.0308,mean concurrently resident requests in a 60 s window
FluidServe,2,40.0000,100.0000,0.0400,76.9949,77.9843,0.0000,0.0000,17.4980,17.7229,0.0000,0.0000,4.2383,4.2928,0.0000,0.0000,98.7313,mean concurrently resident requests in a 60 s window
FluidServe,2,41.0000,100.0000,0.0400,40.2595,93.9039,0.0000,0.0000,1.5862,3.6997,0.0000,0.0000,1.0274,2.3964,0.0000,0.0000,42.8731,mean concurrently resident requests in a 60 s window
FluidServe,2,42.0000,100.0000,0.0400,141.5804,83.6605,0.0000,0.0000,18.8548,11.1414,0.0000,0.0000,8.7969,5.1981,0.0000,0.0000,169.2320,mean concurrently resident requests in a 60 s window
FluidServe,2,43.0000,100.0000,0.0400,74.3571,82.0224,0.0000,0.0000,13.4796,14.8692,0.0000,0.0000,2.8179,3.1083,0.0000,0.0000,90.6546,mean concurrently resident requests in a 60 s window
FluidServe,2,44.0000,100.0000,0.0400,1.2215,50.5906,0.0000,0.0000,0.9579,39.6726,0.0000,0.0000,0.2351,9.7368,0.0000,0.0000,2.4144,mean concurrently resident requests in a 60 s window
FluidServe,2,45.0000,100.0000,0.0400,0.4572,0.5715,0.0000,0.0000,79.5544,99.4285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80.0116,mean concurrently resident requests in a 60 s window
FluidServe,2,46.0000,100.0000,0.0400,69.1528,46.4618,0.0000,0.0000,75.6944,50.8569,0.0000,0.0000,3.9908,2.6813,0.0000,0.0000,148.8380,mean concurrently resident requests in a 60 s window
FluidServe,2,47.0000,100.0000,0.0400,70.7331,50.2111,0.0000,0.0000,57.8552,41.0695,0.0000,0.0000,12.2830,8.7193,0.0000,0.0000,140.8714,mean concurrently resident requests in a 60 s window
FluidServe,2,48.0000,100.0000,0.0400,66.3751,47.8421,0.0000,0.0000,60.9749,43.9498,0.0000,0.0000,11.3878,8.2081,0.0000,0.0000,138.7377,mean concurrently resident requests in a 60 s window
FluidServe,2,49.0000,100.0000,0.0400,107.2571,59.6351,0.0000,0.0000,57.2086,31.8081,0.0000,0.0000,15.3899,8.5568,0.0000,0.0000,179.8555,mean concurrently resident requests in a 60 s window
FluidServe,2,50.0000,100.0000,0.0400,126.8652,67.1290,0.0000,0.0000,49.2886,26.0804,0.0000,0.0000,12.8332,6.7905,0.0000,0.0000,188.9870,mean concurrently resident requests in a 60 s window
FluidServe,2,51.0000,100.0000,0.0400,119.3737,62.7361,0.0000,0.0000,59.5845,31.3143,0.0000,0.0000,11.3209,5.9496,0.0000,0.0000,190.2791,mean concurrently resident requests in a 60 s window
FluidServe,2,52.0000,100.0000,0.0400,201.8398,85.0061,0.0000,0.0000,30.8463,12.9911,0.0000,0.0000,4.7556,2.0028,0.0000,0.0000,237.4416,mean concurrently resident requests in a 60 s window
FluidServe,2,53.0000,100.0000,0.0400,205.5786,86.6416,0.0000,0.0000,25.3238,10.6728,0.0000,0.0000,6.3722,2.6856,0.0000,0.0000,237.2746,mean concurrently resident requests in a 60 s window
FluidServe,2,54.0000,100.0000,0.0400,200.1548,85.8966,0.0000,0.0000,26.6544,11.4388,0.0000,0.0000,6.2090,2.6646,0.0000,0.0000,233.0183,mean concurrently resident requests in a 60 s window
FluidServe,2,55.0000,100.0000,0.0400,181.5744,84.9509,0.0000,0.0000,25.3350,11.8532,0.0000,0.0000,6.8311,3.1960,0.0000,0.0000,213.7405,mean concurrently resident requests in a 60 s window
FluidServe,2,56.0000,100.0000,0.0400,202.5952,89.0162,0.0000,0.0000,17.2927,7.5981,0.0000,0.0000,7.7056,3.3857,0.0000,0.0000,227.5936,mean concurrently resident requests in a 60 s window
FluidServe,2,57.0000,100.0000,0.0400,188.2915,84.6380,0.0000,0.0000,26.5997,11.9567,0.0000,0.0000,7.5757,3.4053,0.0000,0.0000,222.4669,mean concurrently resident requests in a 60 s window
FluidServe,2,58.0000,100.0000,0.0400,108.5563,66.8231,0.0000,0.0000,45.7532,28.1639,0.0000,0.0000,8.1437,5.0129,0.0000,0.0000,162.4533,mean concurrently resident requests in a 60 s window
FluidServe,2,59.0000,100.0000,0.0400,31.7702,42.9109,0.0000,0.0000,34.5004,46.5984,0.0000,0.0000,7.7671,10.4907,0.0000,0.0000,74.0377,mean concurrently resident requests in a 60 s window
FluidServe,2,60.0000,100.0000,0.0400,0.0357,20.3864,0.0000,0.0000,0.1242,71.0181,0.0000,0.0000,0.0150,8.5955,0.0000,0.0000,0.1749,mean concurrently resident requests in a 60 s window
FluidServe,3,0.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2327,100.0000,0.0000,0.0000,2.2327,mean concurrently resident requests in a 60 s window
FluidServe,3,1.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4356,100.0000,0.0000,0.0000,2.4356,mean concurrently resident requests in a 60 s window
FluidServe,3,2.0000,100.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6186,100.0000,0.0000,0.0000,0.6186,mean concurrently resident requests in a 60 s window
FluidServe,3,3.0000,100.0000,0.0400,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,mean concurrently resident requests in a 60 s window
FluidServe,3,4.0000,100.0000,0.0400,80.1840,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80.1840,mean concurrently resident requests in a 60 s window
FluidServe,3,5.0000,100.0000,0.0400,237.2797,99.9939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,0.0061,0.0000,0.0000,237.2943,mean concurrently resident requests in a 60 s window
FluidServe,3,6.0000,100.0000,0.0400,253.7498,99.4573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3846,0.5427,0.0000,0.0000,255.1344,mean concurrently resident requests in a 60 s window
