panel,series,x_hours,value,bin_minutes,source
a,arrival_rate_norm,2.06667,0.24445,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.08333,0.22942,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.10000,0.21096,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.11667,0.21848,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.13333,0.20444,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.15000,0.20057,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.16667,0.20732,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.18333,0.21273,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.20000,0.18941,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.21667,0.21947,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.23333,0.21947,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.25000,0.22279,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.26667,0.21936,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.28333,0.22257,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.30000,0.21571,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.31667,0.19925,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.33333,0.22776,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.35000,0.22909,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.36667,0.20930,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.38333,0.20024,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.40000,0.20245,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.41667,0.20986,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.43333,0.20267,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.45000,0.22312,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.46667,0.21627,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.48333,0.20301,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.50000,0.21140,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.51667,0.23074,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.53333,0.22411,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.55000,0.23958,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.56667,0.22013,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.58333,0.22522,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.60000,0.20566,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.61667,0.21560,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.63333,0.21483,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.65000,0.20301,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.66667,0.21571,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.68333,0.23196,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.70000,0.25030,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.71667,0.22677,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.73333,0.20942,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.75000,0.23439,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.76667,0.24887,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.78333,0.22632,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.80000,0.21306,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.81667,0.20721,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.83333,0.20997,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.85000,0.23262,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.86667,0.21450,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.88333,0.22610,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.90000,0.20533,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.91667,0.20433,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.93333,0.19273,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.95000,0.18610,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.96667,0.21870,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,2.98333,0.20687,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.00000,0.21417,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.01667,0.20500,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.03333,0.24312,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.05000,0.23284,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.06667,0.22721,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.08333,0.21483,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.10000,0.20798,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.11667,0.21792,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.13333,0.21262,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.15000,0.19571,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.16667,0.21350,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.18333,0.24102,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.20000,0.24378,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.21667,0.23804,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.23333,0.23351,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.25000,0.22312,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.26667,0.21129,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.28333,0.24157,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.30000,0.22489,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.31667,0.19660,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.33333,0.22168,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.35000,0.22820,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.36667,0.23428,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.38333,0.20964,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.40000,0.17328,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.41667,0.20234,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.43333,0.19317,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.45000,0.20798,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.46667,0.21417,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.48333,0.20190,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.50000,0.22091,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.51667,0.21903,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.53333,0.23561,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.55000,0.22920,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.56667,0.19936,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.58333,0.21295,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.60000,0.22069,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.61667,0.22699,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.63333,0.20577,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.65000,0.20544,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.66667,0.20002,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.68333,0.21472,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.70000,0.20919,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.71667,0.22345,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
a,arrival_rate_norm,3.73333,0.18974,,"Azure LLM Inference 2024 conversation + code, the window in dyn60_azure4d.plan.json"
