arm,run,series,minute,value,n_requests,engine_port,attainment_window_s
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.4206,150.1451,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.4373,138.9033,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.4540,117.0680,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.4706,100.9633,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.4873,93.4770,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.5040,82.3596,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.5206,79.8914,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.5373,73.7733,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.5540,74.8309,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.5706,74.2030,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.5873,83.1106,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.6040,75.2324,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.6206,78.4461,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.6373,81.3783,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.6540,90.8420,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.6706,84.0419,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.6873,90.9574,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.7040,90.9082,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.7206,96.9308,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.7373,79.0374,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.7540,69.3681,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.7706,63.0223,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.7873,55.9237,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.8040,58.9533,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.8206,59.9431,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.8373,86.0308,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.8540,130.1170,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.8706,114.1451,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.8873,82.5895,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.9040,63.0262,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.9206,59.4314,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.9373,66.2705,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.9540,76.6000,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.9706,79.6504,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,35.9873,83.9830,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.0040,76.9714,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.0206,91.2767,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.0373,67.6781,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.0540,62.5298,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.0706,67.7679,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.0873,72.0666,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.1040,91.5774,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.1206,93.5501,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.1373,92.6031,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.1540,75.8568,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.1706,82.0849,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.1873,106.6830,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.2040,102.4757,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.2206,73.2995,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.2373,62.7416,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.2540,80.1835,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.2706,85.3179,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.2873,80.1376,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.3040,67.3114,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.3206,67.2210,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.3373,63.4838,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.3540,78.3324,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.3706,82.7238,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.3873,88.4486,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.4040,58.1234,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.4206,49.6489,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.4373,44.5824,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.4540,57.0375,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.4706,63.7266,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.4873,71.0441,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.5040,59.3879,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.5206,64.5227,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.5373,56.9596,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.5540,58.1161,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.5706,58.5840,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.5873,79.3073,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.6040,100.4620,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.6206,90.1710,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.6373,69.8527,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.6540,79.4056,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.6706,86.5401,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.6873,91.5802,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.7040,93.4263,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.7206,98.8137,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.7373,128.9351,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.7540,118.5191,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.7706,133.4486,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.7873,105.1289,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.8040,82.0566,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.8206,73.2865,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.8373,75.0826,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.8540,75.7223,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.8706,61.7928,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.8873,59.1498,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.9040,59.4699,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.9206,67.2682,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.9373,75.0831,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.9540,67.2588,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.9706,62.1055,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,36.9873,53.8008,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.0040,52.7668,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.0206,62.5553,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.0373,74.7669,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.0540,90.7940,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.0706,78.5995,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.0873,68.0150,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.1040,64.8364,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.1206,70.8820,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.1373,72.4479,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.1540,89.6848,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.1706,102.8246,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.1873,95.5080,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.2040,73.7545,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.2206,50.2619,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.2373,58.9924,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.2540,55.4654,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.2706,59.1158,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.2873,46.6270,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.3040,49.3473,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.3206,58.1004,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.3373,76.8691,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.3540,83.6622,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.3706,80.0053,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.3873,88.2548,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.4040,81.8024,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.4206,64.5555,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.4373,67.3594,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.4540,64.3381,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.4706,75.6834,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.4873,58.5477,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.5040,66.1793,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.5206,63.3454,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.5373,94.7265,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.5540,76.3293,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.5706,79.3435,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.5873,58.2040,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.6040,61.2083,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.6206,67.2315,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.6373,93.2643,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.6540,81.5170,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.6706,87.9398,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.6873,76.0202,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.7040,80.2517,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.7206,64.4060,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.7373,56.8513,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.7540,65.1829,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.7706,72.1907,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.7873,69.9517,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.8040,69.5194,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.8206,64.0463,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.8373,89.5517,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.8540,107.0335,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.8706,136.8470,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.8873,121.1689,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.9040,94.3693,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.9206,84.4171,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.9373,90.5928,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.9540,88.4929,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.9706,95.5352,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,37.9873,100.9244,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.0040,115.0918,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.0206,91.4499,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.0373,80.7481,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.0540,68.7172,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.0706,72.9677,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.0873,69.2802,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.1040,74.8525,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.1206,77.5428,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.1373,77.5149,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.1540,81.6941,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.1706,95.4342,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.1873,122.0085,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.2040,232.0625,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.2206,165.7316,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.2373,116.4387,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.2540,91.5496,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.2706,109.2373,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.2873,121.4953,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.3040,88.3204,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.3206,70.2249,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.3373,75.7592,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.3540,114.8835,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.3706,107.2844,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.3873,113.3846,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.4040,99.5886,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.4206,115.8125,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.4373,82.3982,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.4540,66.3499,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.4706,62.9611,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.4873,77.2117,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.5040,85.0783,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.5206,81.4227,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.5373,65.9058,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.5540,73.7052,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.5706,69.0796,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.5873,71.7807,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.6040,86.9786,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.6206,150.7887,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.6373,148.3519,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.6540,96.2476,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.6706,68.5014,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.6873,72.8920,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.7040,91.4635,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.7206,127.3543,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.7373,102.6839,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.7540,80.3126,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.7706,66.5843,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.7873,81.4025,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.8040,113.0006,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.8206,115.8051,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.8373,88.5739,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.8540,71.8815,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.8706,77.0937,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.8873,71.3309,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.9040,69.8006,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.9206,56.6588,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.9373,63.7625,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.9540,69.4016,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.9706,75.6163,,8002,15.0000
Llumnix SLO,260831_2346_exp109r1_slot75_shift,inter_token_latency_ms,38.9873,73.6424,,8002,15.0000
