panel,series,x_minutes,value,n_requests,attainment_window_s,run,engine_port
a,kv_cache_usage_pct,35.65397,99.67310,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.67064,99.82449,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.68730,98.68760,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.70397,99.03835,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.72064,99.56694,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.73730,98.96259,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.75397,99.75761,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.77064,99.31194,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.78730,99.34002,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.80397,99.55182,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.82064,95.21507,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.83730,93.69215,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.85397,94.30457,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.87064,95.99885,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.88730,95.41705,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.90397,94.40387,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.92064,93.37432,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.93730,91.51192,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.95397,92.84317,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.97064,93.93463,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,35.98730,93.73905,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.00397,93.90461,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.02064,94.65574,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.03730,95.70235,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.05397,94.70791,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.07064,94.78762,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.08730,95.04363,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.10397,94.12773,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.12064,94.95488,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.13730,94.26963,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.15397,94.17757,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.17064,93.48887,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.18730,94.77401,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.20397,95.60808,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.22064,92.71858,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.23730,90.77707,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.25397,91.98456,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.27064,93.09675,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.28730,93.08554,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.30397,92.24931,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.32064,91.90202,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.33730,92.38147,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.35397,91.33990,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.37064,92.47082,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.38730,92.26651,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.40397,93.02180,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.42064,93.13616,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.43730,93.26977,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.45397,92.86856,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.47064,92.93238,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.48730,94.23419,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.50397,94.27973,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.52064,93.04676,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.53730,93.63124,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.55397,93.14689,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.57064,91.97999,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.58730,91.94804,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.60397,92.50070,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.62064,92.26771,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.63730,92.68749,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.65397,91.86391,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.67064,93.58746,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.68730,94.39468,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.70397,93.18587,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.72064,94.56730,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.73730,93.59002,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.75397,93.51577,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.77064,95.35486,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.78730,96.56673,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.80397,96.32145,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.82064,94.75619,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.83730,94.16878,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.85397,94.32037,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.87064,93.98598,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.88730,93.51870,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.90397,93.98985,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.92064,93.60492,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.93730,93.78186,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.95397,95.13399,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.97064,93.95306,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,36.98730,94.35294,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.00397,93.89831,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.02064,92.50123,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.03730,93.24753,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.05397,91.15196,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.07064,92.01718,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.08730,92.59538,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.10397,91.60339,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.12064,91.78784,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.13730,92.65778,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.15397,93.20611,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.17064,94.15887,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.18730,93.90681,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.20397,92.97821,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.22064,92.60859,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.23730,90.60607,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.25397,90.38823,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.27064,88.93218,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.28730,88.99825,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.30397,88.28472,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.32064,87.79811,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.33730,89.05908,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.35397,86.64953,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.37064,87.44849,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.38730,85.39138,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.40397,87.20937,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.42064,86.82705,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.43730,84.22168,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.45397,85.49041,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.47064,84.61216,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.48730,84.38995,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.50397,82.81427,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.52064,83.80037,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.53730,82.41422,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.55397,83.18260,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.57064,83.45754,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.58730,82.96149,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.60397,82.24501,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.62064,82.02089,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.63730,81.95313,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.65397,83.37222,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.67064,81.66762,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.68730,82.32583,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.70397,83.01874,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.72064,83.58221,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.73730,83.95816,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.75397,82.90530,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.77064,83.94037,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.78730,84.24888,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.80397,83.49674,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.82064,83.72606,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.83730,83.05733,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.85397,84.34220,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.87064,84.02359,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.88730,82.85748,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.90397,83.77296,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.92064,83.73877,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.93730,83.91489,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.95397,84.05951,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.97064,83.63306,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,37.98730,83.63953,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.00397,85.05932,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.02064,84.49121,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.03730,83.62125,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.05397,83.07606,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.07064,83.43055,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.08730,82.76470,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.10397,82.26666,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.12064,82.23775,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.13730,82.26268,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.15397,83.55733,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.17064,83.01550,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.18730,84.38842,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.20397,85.72684,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.22064,88.29217,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.23730,89.07265,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.25397,89.15682,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.27064,88.47970,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.28730,90.22053,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.30397,91.01519,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.32064,90.47509,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.33730,90.04615,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.35397,91.55426,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.37064,92.29510,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.38730,90.46603,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.40397,92.06176,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.42064,91.57335,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.43730,90.98576,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.45397,90.79611,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.47064,91.23911,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.48730,89.78027,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.50397,90.98054,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.52064,91.35044,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.53730,91.18324,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.55397,91.35902,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.57064,90.64950,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.58730,90.09478,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.60397,86.86862,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.62064,88.48453,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.63730,90.48354,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.65397,91.11913,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.67064,90.52994,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.68730,90.23926,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.70397,90.65659,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.72064,91.59244,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.73730,92.17674,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.75397,91.53386,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.77064,91.15268,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.78730,90.23036,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.80397,89.57969,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.82064,90.77779,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.83730,91.83543,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.85397,90.46583,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.87064,92.37617,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.88730,93.05007,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.90397,92.70854,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.92064,93.41775,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.93730,92.88591,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.95397,92.28968,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.97064,92.41298,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,38.98730,91.94039,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.00397,91.57062,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.02064,91.68517,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.03730,92.09724,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.05397,91.73958,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.07064,91.30218,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.08730,92.55991,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.10397,94.76565,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.12064,95.20579,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.13730,93.42049,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.15397,93.15515,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.17064,92.61816,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.18730,92.00959,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.20397,91.44119,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.22064,92.54344,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.23730,91.96339,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.25397,90.61390,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.27064,90.87974,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.28730,90.71475,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.30397,91.35659,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.32064,92.26251,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.33730,92.64558,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.35397,91.19520,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.37064,91.75707,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.38730,90.92505,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.40397,91.38407,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.42064,92.23051,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.43730,92.54567,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.45397,91.14889,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.47064,91.88941,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.48730,92.32381,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.50397,91.32751,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.52064,91.99116,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.53730,89.63956,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.55397,90.98916,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.57064,90.61977,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.58730,91.44889,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.60397,91.60842,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.62064,92.12175,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.63730,92.48774,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.65397,92.80477,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.67064,93.22764,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.68730,92.00569,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.70397,90.88048,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.72064,91.50987,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.73730,92.24897,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.75397,93.01722,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.77064,92.63620,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.78730,92.41798,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.80397,92.87672,,,260831_2346_exp109r1_slot75_shift,8002
a,kv_cache_usage_pct,39.82064,91.57243,,,260831_2346_exp109r1_slot75_shift,8002
