arm,rate_req_s,engine_rank,n_repeats,attributed_pct,resident_chat,resident_deepresearch,resident_swe,resident_total,resident_total_min,resident_total_max,unit,order
FluidServe,45.0,1,2,100.0,188.68362168934613,11.682136828369565,3.947137648970992,204.31289616668667,202.7424518165765,205.88334051679684,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,45.0,2,2,100.0,137.55398330445644,23.489525463625238,10.270853622533657,171.31436239061532,169.243906169909,173.38481861132163,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,45.0,3,2,100.0,88.76836613240064,50.69064080825558,10.70207308376277,150.161080024419,149.9881144227805,150.3340456260575,mean concurrently resident requests,engines ranked per 60 s window by chat residency
FluidServe,45.0,4,2,100.0,0.0,133.0674018316799,25.365545597120565,158.43294742880045,153.95663860329876,162.90925625430214,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,45.0,1,2,100.0,28.6261597013032,97.37929199360035,61.722950699373534,187.72840239427708,186.39704513638108,189.05975965217308,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,45.0,2,2,100.0,26.604368656211427,130.8617943048477,26.181525633953235,183.64768859501237,181.6119925273789,185.68338466264584,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,45.0,3,2,100.0,25.706657478323685,119.41812177234226,38.48155085466526,183.6063301053312,181.32536622948115,185.88729398118127,mean concurrently resident requests,engines ranked per 60 s window by chat residency
Llumnix SLO,45.0,4,2,100.0,24.84330612244429,141.4287913452696,17.283640935023627,183.55573840273752,180.83984439814532,186.27163240732966,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,45.0,1,2,100.0,338.26625505288445,3.5098426381746926,1.4249917736759894,343.2010894647351,340.2738449162908,346.1283340131795,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,45.0,2,2,100.0,310.2488269825776,4.467769230515868,2.1966966715123917,316.9132928846058,314.94765331612695,318.8789324530849,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,45.0,3,2,100.0,10.574547137595989,79.50787150175483,9.754610460996625,99.83702910034745,95.13300982934457,104.54104837135033,mean concurrently resident requests,engines ranked per 60 s window by chat residency
PolyServe,45.0,4,2,100.0,5.1256733499191425,23.097113310849224,52.537080027218224,80.75986668798659,77.18728764189615,84.33244573407703,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,45.0,1,2,99.94,57.191906709803476,26.091088194096532,6.525963723880273,89.80895862778027,76.61127122552308,103.0066460300375,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,45.0,2,2,99.94,48.74709142159533,33.566033233536615,7.559651552085523,89.87277620721747,75.87645380850189,103.869098605933,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,45.0,3,2,99.94,44.115696331748254,36.12689298303039,8.532235819984367,88.774825134763,75.47422990666497,102.07542036286108,mean concurrently resident requests,engines ranked per 60 s window by chat residency
llm-d,45.0,4,2,99.94,38.83591112229559,35.538682395661326,9.984014313971556,84.35860783192848,69.749205257716,98.96801040614093,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,45.0,1,1,85.23,836.3833716281257,203.18242723147077,0.3428266207377116,1039.9086254803342,1039.9086254803342,1039.9086254803342,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,45.0,2,1,85.23,796.5158923610053,202.53778807322183,2.3052221675713858,1001.3589026017985,1001.3589026017985,1001.3589026017985,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,45.0,3,1,85.23,717.1859186244012,178.6486084584395,46.7698133500417,942.6043404328824,942.6043404328824,942.6043404328824,mean concurrently resident requests,engines ranked per 60 s window by chat residency
vLLM-router,45.0,4,1,85.23,383.4486109320323,118.4527972694238,213.1751106758913,715.0765188773473,715.0765188773473,715.0765188773473,mean concurrently resident requests,engines ranked per 60 s window by chat residency
